Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1             Pavarde1            10    7     10    1     2     1     8     3     10    4     3     5     6     10    4     10    
Vardas2             Pavarde2            8     8     2     7     7     10    5     9     7     1     10    4     4     9     1     4     
Vardas3             Pavarde3            5     3     3     4     3     10    2     1     1     3     3     9     4     7     5     1     
Vardas4             Pavarde4            6     5     1     7     5     9     9     9     2     3     7     9     9     4     2     3     
Vardas5             Pavarde5            5     9     5     5     2     5     7     3     8     1     8     5     4     9     6     4     
Vardas6             Pavarde6            6     1     3     5     2     4     6     7     10    6     2     5     2     3     7     6     
Vardas7             Pavarde7            1     1     7     2     4     6     2     6     10    3     2     9     8     10    7     7     
Vardas8             Pavarde8            4     9     6     3     4     2     2     6     3     2     2     9     6     2     3     9     
Vardas9             Pavarde9            10    9     3     5     2     6     9     7     3     2     5     5     1     1     5     9     
Vardas10            Pavarde10           9     8     3     9     5     6     7     6     5     3     7     4     9     3     3     10    
Vardas11            Pavarde11           1     3     4     5     5     3     7     7     3     7     10    3     2     10    5     6     
Vardas12            Pavarde12           4     6     10    1     4     4     3     10    3     1     4     5     2     2     2     8     
Vardas13            Pavarde13           4     3     5     1     1     9     6     5     1     4     1     8     4     4     2     1     
Vardas14            Pavarde14           6     5     1     4     2     6     7     6     8     5     1     10    7     6     9     8     
Vardas15            Pavarde15           4     9     9     9     8     5     6     2     10    9     2     6     2     1     3     2     
Vardas16            Pavarde16           2     4     6     2     1     5     10    4     7     10    4     10    6     7     9     4     
Vardas17            Pavarde17           1     9     1     8     5     2     1     9     2     3     4     2     1     2     5     5     
Vardas18            Pavarde18           9     4     3     3     8     7     6     10    7     2     7     5     8     1     8     1     
Vardas19            Pavarde19           6     6     9     10    5     5     7     5     9     2     6     9     10    1     1     5     
Vardas20            Pavarde20           2     9     1     10    5     2     4     3     8     10    6     8     5     5     8     9     
Vardas21            Pavarde21           4     7     7     9     3     6     4     7     2     9     7     4     7     7     5     4     
Vardas22            Pavarde22           5     9     4     5     8     2     9     7     1     3     5     9     1     7     3     6     
Vardas23            Pavarde23           6     1     9     10    1     7     2     6     3     3     2     5     7     4     8     7     
Vardas24            Pavarde24           10    10    5     9     10    4     7     9     10    6     4     4     1     7     7     9     
Vardas25            Pavarde25           2     5     5     4     10    4     2     10    1     8     1     7     6     5     10    10    
Vardas26            Pavarde26           8     5     7     2     7     4     4     4     8     1     10    7     5     10    8     8     
Vardas27            Pavarde27           2     2     6     5     9     9     4     10    7     7     2     8     6     9     10    4     
Vardas28            Pavarde28           6     2     10    2     1     5     8     7     2     7     10    1     3     9     4     4     
Vardas29            Pavarde29           7     2     3     3     3     7     5     7     10    9     10    7     8     9     3     5     
Vardas30            Pavarde30           9     2     5     1     6     2     5     10    5     10    2     10    3     8     2     5     
Vardas31            Pavarde31           10    7     9     5     3     1     7     6     5     3     5     4     10    4     1     3     
Vardas32            Pavarde32           3     3     9     2     4     10    1     7     9     2     10    3     4     5     10    3     
Vardas33            Pavarde33           4     7     6     8     9     8     10    7     2     5     6     6     8     2     6     5     
Vardas34            Pavarde34           10    10    7     3     8     3     4     1     8     4     7     4     3     10    8     3     
Vardas35            Pavarde35           2     10    5     4     4     7     1     5     4     3     6     2     10    3     9     4     
Vardas36            Pavarde36           8     3     8     8     8     4     6     5     10    8     1     8     9     2     4     10    
Vardas37            Pavarde37           3     1     7     5     4     4     1     2     6     2     4     10    9     1     8     7     
Vardas38            Pavarde38           7     8     3     9     8     4     4     2     7     9     6     2     5     9     3     1     
Vardas39            Pavarde39           10    7     5     3     9     8     2     4     10    8     2     6     1     9     4     9     
Vardas40            Pavarde40           7     6     4     2     5     8     2     7     2     10    9     5     7     3     8     5     
Vardas41            Pavarde41           9     4     3     4     7     3     1     3     2     4     6     3     5     2     2     8     
Vardas42            Pavarde42           6     5     9     3     4     2     10    6     2     2     3     3     3     6     2     5     
Vardas43            Pavarde43           4     4     7     10    2     1     8     6     6     4     9     7     8     2     2     6     
Vardas44            Pavarde44           6     4     6     9     10    7     7     8     1     1     9     7     8     8     10    4     
Vardas45            Pavarde45           6     1     8     9     2     7     2     2     5     3     7     4     7     8     1     2     
Vardas46            Pavarde46           7     7     10    7     2     6     8     2     9     2     3     7     8     2     1     5     
Vardas47            Pavarde47           10    4     8     5     2     3     4     2     4     6     5     7     10    5     3     10    
Vardas48            Pavarde48           9     6     4     7     10    6     6     6     3     6     10    9     6     1     9     7     
Vardas49            Pavarde49           3     10    9     6     6     3     1     9     10    4     8     8     10    10    7     2     
Vardas50            Pavarde50           8     4     3     9     4     10    10    2     1     9     10    4     4     10    3     6     
Vardas51            Pavarde51           2     5     3     1     1     4     9     9     6     10    8     5     3     9     2     2     
Vardas52            Pavarde52           10    2     7     6     4     10    5     10    10    3     8     8     9     8     5     3     
Vardas53            Pavarde53           10    1     2     8     10    2     3     2     10    7     8     2     4     6     6     3     
Vardas54            Pavarde54           5     1     10    6     8     7     7     1     10    2     10    6     4     4     5     4     
Vardas55            Pavarde55           4     5     6     9     6     1     4     4     1     9     8     5     4     1     2     6     
Vardas56            Pavarde56           6     4     7     4     8     7     5     5     2     4     1     3     7     8     1     1     
Vardas57            Pavarde57           3     9     7     2     3     5     6     8     7     1     10    6     1     5     3     1     
Vardas58            Pavarde58           3     10    2     6     9     3     7     5     10    8     7     2     2     9     8     1     
Vardas59            Pavarde59           4     10    1     7     4     10    3     2     1     3     2     9     5     6     1     3     
Vardas60            Pavarde60           8     9     6     4     5     10    3     4     2     2     1     7     4     9     4     8     
Vardas61            Pavarde61           8     6     10    2     8     10    3     10    1     1     7     4     7     9     4     1     
Vardas62            Pavarde62           5     10    6     8     4     5     3     9     3     10    4     2     2     3     7     2     
Vardas63            Pavarde63           10    9     9     2     10    7     5     8     9     6     10    1     6     10    1     6     
Vardas64            Pavarde64           7     1     1     9     1     8     8     4     2     6     4     6     7     5     2     8     
Vardas65            Pavarde65           10    8     7     10    10    3     3     6     3     1     5     3     7     9     9     6     
Vardas66            Pavarde66           5     6     4     1     1     4     5     4     7     4     1     3     7     7     6     9     
Vardas67            Pavarde67           6     3     9     9     2     1     8     2     3     2     1     6     1     9     9     1     
Vardas68            Pavarde68           5     7     1     8     5     10    6     1     10    2     9     9     9     7     10    6     
Vardas69            Pavarde69           1     4     3     4     6     3     2     7     9     1     5     10    7     1     9     3     
Vardas70            Pavarde70           2     9     10    6     4     10    10    10    3     2     3     10    1     7     5     6     
Vardas71            Pavarde71           5     2     2     8     4     1     7     7     8     9     9     10    1     9     8     7     
