Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1             Pavarde1            7     9     2     9     1     3     3     1     7     10    6     10    10    2     1     4     
Vardas2             Pavarde2            8     10    8     2     6     9     6     4     3     7     8     6     5     2     8     3     
Vardas3             Pavarde3            10    2     5     7     5     7     1     9     7     3     2     5     10    1     9     6     
Vardas4             Pavarde4            10    10    3     9     7     3     7     3     3     10    6     9     7     5     9     6     
Vardas5             Pavarde5            6     6     7     10    7     4     7     6     3     9     2     9     10    6     7     2     
Vardas6             Pavarde6            7     6     1     6     7     1     9     8     4     5     1     3     10    1     3     8     
Vardas7             Pavarde7            7     4     5     6     3     6     6     1     5     1     6     7     4     2     7     9     
Vardas8             Pavarde8            7     7     10    1     2     3     9     3     1     2     8     4     8     2     8     5     
Vardas9             Pavarde9            6     5     2     7     3     1     3     5     9     1     6     4     4     2     5     3     
Vardas10            Pavarde10           10    2     8     4     3     1     7     2     2     7     6     1     9     8     9     1     
Vardas11            Pavarde11           1     7     8     2     3     6     4     4     6     7     4     3     9     4     9     9     
Vardas12            Pavarde12           7     2     6     3     10    3     5     10    2     2     8     8     10    4     2     1     
Vardas13            Pavarde13           4     6     3     3     5     4     5     1     2     5     9     6     8     2     10    4     
Vardas14            Pavarde14           1     6     10    4     7     2     4     8     7     2     9     5     10    4     4     6     
Vardas15            Pavarde15           3     10    9     2     3     2     4     8     7     3     2     5     7     4     6     9     
Vardas16            Pavarde16           1     3     2     3     4     1     9     2     5     1     1     2     9     6     5     3     
Vardas17            Pavarde17           8     10    9     8     9     10    9     5     3     7     4     5     8     8     1     5     
Vardas18            Pavarde18           8     8     2     1     4     1     8     10    9     5     5     6     7     4     8     7     
Vardas19            Pavarde19           7     5     8     7     5     7     1     2     4     10    5     6     6     1     4     10    
Vardas20            Pavarde20           3     9     10    1     10    1     10    4     3     10    8     8     5     5     4     2     
Vardas21            Pavarde21           5     1     4     4     5     7     9     7     2     2     10    2     5     5     1     8     
Vardas22            Pavarde22           6     4     10    6     5     6     9     2     5     4     6     5     7     6     9     9     
Vardas23            Pavarde23           3     1     2     5     10    1     10    8     8     4     6     8     5     10    2     4     
Vardas24            Pavarde24           8     4     8     1     4     9     4     3     6     4     1     8     7     2     4     8     
Vardas25            Pavarde25           1     9     7     3     2     5     3     6     6     6     7     3     9     9     7     4     
Vardas26            Pavarde26           2     4     10    8     10    4     9     3     4     6     7     4     4     5     8     7     
Vardas27            Pavarde27           3     10    2     9     1     7     9     2     1     1     6     9     1     7     5     9     
Vardas28            Pavarde28           6     9     1     8     6     4     7     7     9     4     3     5     5     7     2     9     
Vardas29            Pavarde29           8     5     4     2     7     9     9     3     3     9     4     2     3     2     6     7     
Vardas30            Pavarde30           8     9     6     7     3     3     3     2     6     10    1     7     7     8     3     10    
Vardas31            Pavarde31           1     9     1     9     7     6     2     4     10    2     5     6     6     6     8     9     
Vardas32            Pavarde32           5     4     4     1     4     1     2     8     8     1     10    2     5     3     1     2     
Vardas33            Pavarde33           2     1     10    8     3     4     7     1     4     5     7     8     5     1     3     7     
Vardas34            Pavarde34           6     4     6     9     8     4     10    4     8     10    4     1     7     6     10    8     
Vardas35            Pavarde35           5     10    10    9     2     1     8     5     2     10    8     7     8     8     5     5     
Vardas36            Pavarde36           9     1     9     4     1     10    8     7     8     7     3     8     10    2     3     7     
Vardas37            Pavarde37           5     10    4     5     2     6     7     2     3     8     9     4     1     2     2     5     
