Vardas              Pavarde             Galutinis      
-------------------------------------------------------
Vardas1             Pavarde1            7.81
Vardas2             Pavarde2            5.93
Vardas4             Pavarde4            5.76
Vardas5             Pavarde5            7.69
Vardas6             Pavarde6            6.11
Vardas7             Pavarde7            7.41
Vardas8             Pavarde8            6.60
Vardas9             Pavarde9            7.91
Vardas11            Pavarde11           8.67
Vardas12            Pavarde12           7.85
Vardas13            Pavarde13           5.48
Vardas15            Pavarde15           7.53
Vardas16            Pavarde16           7.45
Vardas17            Pavarde17           7.07
Vardas18            Pavarde18           8.16
Vardas19            Pavarde19           6.25
Vardas20            Pavarde20           5.49
Vardas21            Pavarde21           7.37
Vardas27            Pavarde27           6.39
Vardas29            Pavarde29           6.75
Vardas30            Pavarde30           5.92
Vardas31            Pavarde31           5.21
Vardas34            Pavarde34           7.64
Vardas35            Pavarde35           6.73
Vardas37            Pavarde37           6.92
Vardas38            Pavarde38           7.56
Vardas39            Pavarde39           7.95
Vardas40            Pavarde40           8.16
Vardas41            Pavarde41           5.35
Vardas43            Pavarde43           7.69
Vardas44            Pavarde44           5.48
Vardas45            Pavarde45           6.64
Vardas46            Pavarde46           8.04
Vardas47            Pavarde47           6.72
Vardas48            Pavarde48           6.96
Vardas49            Pavarde49           5.84
Vardas51            Pavarde51           5.41
Vardas54            Pavarde54           5.36
Vardas55            Pavarde55           7.53
Vardas56            Pavarde56           6.79
Vardas57            Pavarde57           6.96
Vardas59            Pavarde59           5.35
Vardas62            Pavarde62           7.53
Vardas63            Pavarde63           7.57
Vardas64            Pavarde64           6.28
Vardas65            Pavarde65           7.51
Vardas66            Pavarde66           7.07
Vardas67            Pavarde67           6.80
Vardas68            Pavarde68           7.77
Vardas69            Pavarde69           6.36
Vardas72            Pavarde72           8.03
Vardas74            Pavarde74           5.81
Vardas75            Pavarde75           8.29
Vardas77            Pavarde77           7.53
Vardas78            Pavarde78           8.53
Vardas79            Pavarde79           7.76
Vardas80            Pavarde80           6.96
Vardas83            Pavarde83           5.75
Vardas84            Pavarde84           6.59
Vardas85            Pavarde85           6.39
Vardas86            Pavarde86           8.04
Vardas88            Pavarde88           6.44
Vardas89            Pavarde89           5.08
Vardas90            Pavarde90           6.21
Vardas91            Pavarde91           5.92
Vardas92            Pavarde92           7.48
Vardas93            Pavarde93           8.09
Vardas95            Pavarde95           6.32
Vardas96            Pavarde96           7.68
Vardas97            Pavarde97           6.48
Vardas105           Pavarde105          6.68
Vardas107           Pavarde107          5.47
Vardas108           Pavarde108          5.95
Vardas111           Pavarde111          7.53
Vardas112           Pavarde112          7.03
Vardas113           Pavarde113          6.35
Vardas118           Pavarde118          5.37
Vardas119           Pavarde119          7.27
Vardas121           Pavarde121          7.07
Vardas123           Pavarde123          8.16
Vardas127           Pavarde127          7.51
Vardas129           Pavarde129          7.77
Vardas132           Pavarde132          7.24
Vardas136           Pavarde136          6.99
Vardas137           Pavarde137          5.73
Vardas138           Pavarde138          5.19
Vardas139           Pavarde139          8.53
Vardas140           Pavarde140          6.05
Vardas143           Pavarde143          7.91
Vardas149           Pavarde149          7.41
Vardas153           Pavarde153          5.55
Vardas154           Pavarde154          5.03
Vardas157           Pavarde157          7.97
Vardas158           Pavarde158          5.92
Vardas159           Pavarde159          5.76
Vardas160           Pavarde160          6.23
Vardas163           Pavarde163          5.85
Vardas164           Pavarde164          7.17
Vardas166           Pavarde166          6.53
Vardas170           Pavarde170          7.27
Vardas172           Pavarde172          7.91
Vardas173           Pavarde173          8.35
Vardas174           Pavarde174          5.87
Vardas175           Pavarde175          5.47
Vardas176           Pavarde176          5.71
Vardas177           Pavarde177          6.81
Vardas178           Pavarde178          6.33
Vardas179           Pavarde179          5.17
Vardas180           Pavarde180          5.49
Vardas184           Pavarde184          7.56
Vardas185           Pavarde185          5.01
Vardas187           Pavarde187          7.01
Vardas188           Pavarde188          5.89
Vardas190           Pavarde190          5.91
Vardas193           Pavarde193          7.16
