Pavarde           Vardas                Galutinis (Vid.)    Galutinis (Med.)
----------------------------------------------------------------------------
Pavarde1          Vardas1                           6.14                6.40
Pavarde10         Vardas10                          5.66                5.40
Pavarde100        Vardas100                         4.50                4.40
Pavarde1000       Vardas1000                        5.80                6.00
Pavarde10000      Vardas10000                       5.12                5.20
Pavarde100000     Vardas100000                      6.80                6.60
Pavarde10001      Vardas10001                       4.08                4.20
Pavarde10002      Vardas10002                       2.90                2.40
Pavarde10003      Vardas10003                       6.80                7.20
Pavarde10004      Vardas10004                       4.68                4.80
Pavarde10005      Vardas10005                       3.52                3.20
Pavarde10006      Vardas10006                       2.60                2.80
Pavarde10007      Vardas10007                       5.18                5.40
Pavarde10008      Vardas10008                       7.74                7.60
Pavarde10009      Vardas10009                       6.28                6.60
Pavarde1001       Vardas1001                        5.22                5.00
Pavarde10010      Vardas10010                       3.12                3.20
Pavarde10011      Vardas10011                       3.52                3.60
Pavarde10012      Vardas10012                       3.44                4.00
Pavarde10013      Vardas10013                       7.68                7.80
Pavarde10014      Vardas10014                       7.70                7.80
Pavarde10015      Vardas10015                       3.08                3.20
Pavarde10016      Vardas10016                       7.82                7.80
Pavarde10017      Vardas10017                       3.84                3.80
Pavarde10018      Vardas10018                       8.74                8.60
Pavarde10019      Vardas10019                       3.16                3.20
Pavarde1002       Vardas1002                        6.66                7.00
Pavarde10020      Vardas10020                       4.70                4.80
Pavarde10021      Vardas10021                       5.60                5.40
Pavarde10022      Vardas10022                       2.88                2.60
Pavarde10023      Vardas10023                       5.62                5.60
Pavarde10024      Vardas10024                       5.94                5.60
Pavarde10025      Vardas10025                       4.82                5.00
Pavarde10026      Vardas10026                       5.66                5.60
Pavarde10027      Vardas10027                       5.30                5.40
Pavarde10028      Vardas10028                       6.82                7.00
Pavarde10029      Vardas10029                       4.76                4.80
Pavarde1003       Vardas1003                        3.72                3.40
Pavarde10030      Vardas10030                       2.28                2.20
Pavarde10031      Vardas10031                       6.40                6.40
Pavarde10032      Vardas10032                       6.98                7.00
Pavarde10033      Vardas10033                       8.02                8.00
Pavarde10034      Vardas10034                       3.10                3.00
Pavarde10035      Vardas10035                       4.30                4.00
Pavarde10036      Vardas10036                       3.60                3.20
Pavarde10037      Vardas10037                       2.66                2.60
Pavarde10038      Vardas10038                       3.32                3.40
Pavarde10039      Vardas10039                       6.72                6.80
Pavarde1004       Vardas1004                        5.40                5.60
Pavarde10040      Vardas10040                       4.66                4.40
Pavarde10041      Vardas10041                       6.66                6.80
Pavarde10042      Vardas10042                       7.30                7.80
Pavarde10043      Vardas10043                       8.18                8.40
Pavarde10044      Vardas10044                       7.64                7.80
Pavarde10045      Vardas10045                       5.32                5.20
Pavarde10046      Vardas10046                       5.54                5.60
Pavarde10047      Vardas10047                       6.10                5.80
Pavarde10048      Vardas10048                       4.96                5.20
Pavarde10049      Vardas10049                       4.08                3.80
Pavarde1005       Vardas1005                        8.34                8.40
Pavarde10050      Vardas10050                       7.90                8.00
Pavarde10051      Vardas10051                       3.58                3.40
Pavarde10052      Vardas10052                       3.06                3.20
Pavarde10053      Vardas10053                       4.10                4.00
Pavarde10054      Vardas10054                       6.50                6.60
Pavarde10055      Vardas10055                       4.74                4.80
Pavarde10056      Vardas10056                       5.42                5.60
Pavarde10057      Vardas10057                       5.24                5.40
Pavarde10058      Vardas10058                       7.84                7.80
Pavarde10059      Vardas10059                       5.08                5.00
Pavarde1006       Vardas1006                        7.26                6.80
Pavarde10060      Vardas10060                       5.32                5.60
Pavarde10061      Vardas10061                       6.30                6.20
Pavarde10062      Vardas10062                       4.38                4.20
Pavarde10063      Vardas10063                       4.76                4.80
Pavarde10064      Vardas10064                       8.36                8.20
Pavarde10065      Vardas10065                       3.46                3.40
Pavarde10066      Vardas10066                       2.72                2.60
Pavarde10067      Vardas10067                       8.28                8.40
Pavarde10068      Vardas10068                       5.30                5.00
Pavarde10069      Vardas10069                       3.34                3.60
Pavarde1007       Vardas1007                        5.98                5.80
Pavarde10070      Vardas10070                       6.00                5.40
Pavarde10071      Vardas10071                       5.98                6.40
Pavarde10072      Vardas10072                       2.66                2.20
Pavarde10073      Vardas10073                       6.18                6.20
Pavarde10074      Vardas10074                       4.08                4.00
Pavarde10075      Vardas10075                       4.70                4.60
Pavarde10076      Vardas10076                       4.80                4.40
Pavarde10077      Vardas10077                       6.04                6.60
Pavarde10078      Vardas10078                       7.50                7.40
Pavarde10079      Vardas10079                       7.52                7.60
Pavarde1008       Vardas1008                        4.20                4.60
Pavarde10080      Vardas10080                       4.02                4.20
Pavarde10081      Vardas10081                       6.12                6.00
Pavarde10082      Vardas10082                       3.62                3.60
Pavarde10083      Vardas10083                       4.30                4.40
Pavarde10084      Vardas10084                       5.42                5.40
Pavarde10085      Vardas10085                       3.50                3.00
Pavarde10086      Vardas10086                       6.04                6.20
Pavarde10087      Vardas10087                       2.84                3.40
Pavarde10088      Vardas10088                       6.84                7.00
Pavarde10089      Vardas10089                       7.74                7.80
Pavarde1009       Vardas1009                        6.30                5.80
Pavarde10090      Vardas10090                       4.16                4.40
Pavarde10091      Vardas10091                       8.34                8.40
Pavarde10092      Vardas10092                       5.72                5.60
Pavarde10093      Vardas10093                       2.98                2.60
Pavarde10094      Vardas10094                       2.38                2.20
