Vardas              Pavarde             Galutinis      
-------------------------------------------------------
Vardas1             Pavarde1            4.56
Vardas2             Pavarde2            4.25
Vardas5             Pavarde5            3.84
Vardas9             Pavarde9            3.48
Vardas10            Pavarde10           2.71
Vardas12            Pavarde12           2.79
Vardas13            Pavarde13           4.35
Vardas16            Pavarde16           3.24
Vardas20            Pavarde20           3.63
Vardas23            Pavarde23           4.61
Vardas25            Pavarde25           4.61
Vardas32            Pavarde32           2.77
Vardas37            Pavarde37           4.87
Vardas39            Pavarde39           2.65
Vardas42            Pavarde42           2.91
Vardas44            Pavarde44           4.53
Vardas45            Pavarde45           3.68
Vardas54            Pavarde54           2.57
Vardas55            Pavarde55           2.72
Vardas56            Pavarde56           4.15
Vardas57            Pavarde57           2.33
Vardas59            Pavarde59           2.68
Vardas61            Pavarde61           3.96
Vardas63            Pavarde63           4.43
Vardas64            Pavarde64           4.57
Vardas66            Pavarde66           2.76
Vardas67            Pavarde67           3.44
Vardas68            Pavarde68           3.36
Vardas73            Pavarde73           3.33
Vardas76            Pavarde76           3.72
Vardas78            Pavarde78           2.73
Vardas81            Pavarde81           3.15
Vardas82            Pavarde82           4.07
Vardas84            Pavarde84           4.97
Vardas89            Pavarde89           4.31
Vardas90            Pavarde90           2.41
Vardas92            Pavarde92           4.12
Vardas93            Pavarde93           2.93
Vardas97            Pavarde97           3.80
Vardas100           Pavarde100          3.80
Vardas101           Pavarde101          4.51
Vardas102           Pavarde102          3.36
Vardas104           Pavarde104          4.04
Vardas107           Pavarde107          4.87
Vardas108           Pavarde108          3.44
Vardas109           Pavarde109          3.81
Vardas110           Pavarde110          3.04
Vardas118           Pavarde118          3.87
Vardas119           Pavarde119          4.84
Vardas120           Pavarde120          3.76
Vardas125           Pavarde125          4.05
Vardas126           Pavarde126          2.73
Vardas129           Pavarde129          2.55
Vardas131           Pavarde131          4.51
Vardas132           Pavarde132          3.63
Vardas133           Pavarde133          3.32
Vardas136           Pavarde136          3.24
Vardas138           Pavarde138          3.81
Vardas141           Pavarde141          2.79
Vardas145           Pavarde145          4.37
Vardas148           Pavarde148          4.69
Vardas150           Pavarde150          4.95
Vardas152           Pavarde152          4.81
Vardas154           Pavarde154          2.72
Vardas155           Pavarde155          2.99
Vardas157           Pavarde157          3.68
