Vardas              Pavarde             Galutinis      
-------------------------------------------------------
Vardas3             Pavarde3            4.07
Vardas10            Pavarde10           3.68
Vardas14            Pavarde14           4.44
Vardas22            Pavarde22           3.15
Vardas23            Pavarde23           2.87
Vardas24            Pavarde24           4.43
Vardas25            Pavarde25           3.41
Vardas26            Pavarde26           4.08
Vardas28            Pavarde28           3.49
Vardas32            Pavarde32           4.77
Vardas33            Pavarde33           1.96
Vardas36            Pavarde36           4.81
Vardas42            Pavarde42           3.24
Vardas50            Pavarde50           4.72
Vardas52            Pavarde52           4.67
Vardas53            Pavarde53           2.71
Vardas58            Pavarde58           4.91
Vardas60            Pavarde60           3.65
Vardas61            Pavarde61           4.56
Vardas70            Pavarde70           4.07
Vardas71            Pavarde71           3.64
Vardas73            Pavarde73           2.97
Vardas76            Pavarde76           3.49
Vardas81            Pavarde81           3.68
Vardas82            Pavarde82           3.69
Vardas87            Pavarde87           3.33
Vardas94            Pavarde94           2.85
Vardas98            Pavarde98           4.88
Vardas99            Pavarde99           3.13
Vardas100           Pavarde100          2.84
Vardas101           Pavarde101          2.89
Vardas102           Pavarde102          4.95
Vardas103           Pavarde103          3.73
Vardas104           Pavarde104          4.21
Vardas106           Pavarde106          2.95
Vardas109           Pavarde109          4.55
Vardas110           Pavarde110          4.69
Vardas114           Pavarde114          4.95
Vardas115           Pavarde115          3.49
Vardas116           Pavarde116          4.45
Vardas117           Pavarde117          3.08
Vardas120           Pavarde120          4.36
Vardas122           Pavarde122          3.68
Vardas124           Pavarde124          2.75
Vardas125           Pavarde125          4.40
Vardas126           Pavarde126          2.81
Vardas128           Pavarde128          3.96
Vardas130           Pavarde130          3.83
Vardas131           Pavarde131          3.52
Vardas133           Pavarde133          3.97
Vardas134           Pavarde134          4.23
Vardas135           Pavarde135          2.79
Vardas141           Pavarde141          3.15
Vardas142           Pavarde142          2.73
Vardas144           Pavarde144          4.27
Vardas145           Pavarde145          3.91
Vardas146           Pavarde146          2.97
Vardas147           Pavarde147          4.12
Vardas148           Pavarde148          2.55
Vardas150           Pavarde150          3.83
Vardas151           Pavarde151          4.11
Vardas152           Pavarde152          2.68
Vardas155           Pavarde155          4.27
Vardas156           Pavarde156          4.95
Vardas161           Pavarde161          3.77
Vardas162           Pavarde162          3.76
Vardas165           Pavarde165          3.31
Vardas167           Pavarde167          4.88
Vardas168           Pavarde168          3.47
Vardas169           Pavarde169          3.68
Vardas171           Pavarde171          2.41
Vardas181           Pavarde181          2.65
Vardas182           Pavarde182          3.08
Vardas183           Pavarde183          3.64
Vardas186           Pavarde186          3.48
Vardas189           Pavarde189          2.96
Vardas191           Pavarde191          3.27
Vardas192           Pavarde192          2.79
Vardas194           Pavarde194          3.69
Vardas196           Pavarde196          2.87
Vardas201           Pavarde201          2.41
Vardas202           Pavarde202          3.59
Vardas203           Pavarde203          4.19
Vardas204           Pavarde204          4.28
Vardas207           Pavarde207          3.88
Vardas208           Pavarde208          4.64
Vardas210           Pavarde210          4.51
Vardas213           Pavarde213          4.29
Vardas215           Pavarde215          4.13
Vardas230           Pavarde230          4.53
Vardas234           Pavarde234          4.43
Vardas238           Pavarde238          3.52
Vardas239           Pavarde239          3.03
Vardas245           Pavarde245          2.79
Vardas246           Pavarde246          2.79
Vardas247           Pavarde247          3.96
Vardas249           Pavarde249          4.80
Vardas255           Pavarde255          4.23
Vardas256           Pavarde256          2.60
Vardas258           Pavarde258          2.76
Vardas262           Pavarde262          3.17
Vardas264           Pavarde264          4.92
Vardas266           Pavarde266          3.83
Vardas267           Pavarde267          2.65
Vardas270           Pavarde270          4.04
Vardas273           Pavarde273          3.24
Vardas275           Pavarde275          3.25
Vardas276           Pavarde276          4.21
Vardas281           Pavarde281          3.61
Vardas282           Pavarde282          3.27
Vardas285           Pavarde285          3.96
Vardas292           Pavarde292          3.09
Vardas293           Pavarde293          2.07
Vardas296           Pavarde296          4.61
Vardas300           Pavarde300          4.07
Vardas302           Pavarde302          4.64
Vardas305           Pavarde305          4.44
Vardas309           Pavarde309          2.33
Vardas312           Pavarde312          3.71
Vardas313           Pavarde313          3.05
Vardas316           Pavarde316          4.53
Vardas317           Pavarde317          2.31
Vardas318           Pavarde318          3.95
Vardas319           Pavarde319          3.12
Vardas320           Pavarde320          3.71
Vardas324           Pavarde324          2.95
Vardas326           Pavarde326          3.77
Vardas327           Pavarde327          3.71
Vardas328           Pavarde328          4.17
Vardas329           Pavarde329          3.24
Vardas333           Pavarde333          2.65
Vardas334           Pavarde334          3.33
Vardas335           Pavarde335          3.60
Vardas336           Pavarde336          3.96
Vardas337           Pavarde337          4.81
Vardas338           Pavarde338          4.73
Vardas339           Pavarde339          3.80
Vardas341           Pavarde341          3.47
Vardas342           Pavarde342          4.95
Vardas343           Pavarde343          3.32
Vardas344           Pavarde344          3.84
Vardas349           Pavarde349          3.31
Vardas352           Pavarde352          3.53
Vardas353           Pavarde353          4.57
Vardas354           Pavarde354          4.68
Vardas356           Pavarde356          4.93
Vardas358           Pavarde358          3.16
Vardas360           Pavarde360          3.79
Vardas361           Pavarde361          4.60
Vardas362           Pavarde362          3.25
Vardas366           Pavarde366          2.83
Vardas367           Pavarde367          4.29
Vardas368           Pavarde368          2.83
Vardas369           Pavarde369          4.60
Vardas370           Pavarde370          2.63
Vardas372           Pavarde372          3.15
Vardas373           Pavarde373          3.11
Vardas374           Pavarde374          3.75
Vardas382           Pavarde382          2.91
Vardas383           Pavarde383          3.81
Vardas386           Pavarde386          2.52
Vardas390           Pavarde390          3.96
Vardas391           Pavarde391          2.87
Vardas394           Pavarde394          4.77
